canonical_document_id,sha256,company_name,company_slug,fiscal_year,technical_document_family,official_doc_type,official_doc_type_label,doc_type_stratum,doc_subtype,period_type,regulatory_status,parent_doc_id,status,taxonomy_notes,source_document_path,taxonomy_document_path,taxonomy_manifest_path,taxonomy_references_path,error_type,error_message
canonical_ec70a18fbe4a81e3fc2a2fe0,0040b3612bd5f18caffe67f994f1dbc5c1d8aa4889bd9a12ce5a9bf444886722,LVMH,lvmh,2024,agm_document,16_agm_minutes_resolutions,AGM minutes / resolutions,governance,agm_document,annual_or_ad_hoc,regulated_or_official,,already_exists,[],C:\Users\hp\Desktop\ESG\ESGCorpus\lvmh\2024\agm-document\canonical-ec70a18fbe4a81e3fc2a2fe0\document.pdf,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\lvmh\2024\16_agm_minutes_resolutions\canonical-ec70a18fbe4a81e3fc2a2fe0\document.pdf,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\lvmh\2024\16_agm_minutes_resolutions\canonical-ec70a18fbe4a81e3fc2a2fe0\manifest.json,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\lvmh\2024\16_agm_minutes_resolutions\canonical-ec70a18fbe4a81e3fc2a2fe0\references.json,,
canonical_171a1addeffde29603b04286,0159dd14ce81db2c7a0aeec6848a5ca2d2766ed858d8a7681641a8947d2f0331,TotalEnergies,totalenergies,2024,assurance_report,19_third_party_assurance_report,Third-party assurance report,assurance,assurance_report,annual_or_ad_hoc,regulated_or_voluntary,,already_exists,[],C:\Users\hp\Desktop\ESG\ESGCorpus\totalenergies\2024\assurance-report\canonical-171a1addeffde29603b04286\document.pdf,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\totalenergies\2024\19_third_party_assurance_report\canonical-171a1addeffde29603b04286\document.pdf,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\totalenergies\2024\19_third_party_assurance_report\canonical-171a1addeffde29603b04286\manifest.json,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\totalenergies\2024\19_third_party_assurance_report\canonical-171a1addeffde29603b04286\references.json,,
canonical_553c953e529a900651b9932e,01eadada823c66bf9ded62511dc44a9796cd9cd1d333fbe105889bab075b09b8,LVMH,lvmh,2024,corporate_policy,,,,corporate_policy_needs_review,perpetual,policy,,needs_review,"[""corporate_policy_needs_review""]",C:\Users\hp\Desktop\ESG\ESGCorpus\lvmh\2024\corporate-policy\canonical-553c953e529a900651b9932e\document.pdf,,,,,
canonical_27bcf6d5f801e4f91d73efd8,02226e1cf5328810510451e1e524e966389750963175a41474de835e18d5aaab,Schneider Electric,schneider-electric,2024,sustainability_report,02_sustainability_statement_csrd_esrs,Sustainability statement / CSRD / ESRS,core_sustainability,sustainability_report,annual,regulated_or_emerging_regulated,,already_exists,[],C:\Users\hp\Desktop\ESG\ESGCorpus\schneider-electric\2024\sustainability-report\canonical-27bcf6d5f801e4f91d73efd8\document.pdf,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\schneider-electric\2024\02_sustainability_statement_csrd_esrs\canonical-27bcf6d5f801e4f91d73efd8\document.pdf,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\schneider-electric\2024\02_sustainability_statement_csrd_esrs\canonical-27bcf6d5f801e4f91d73efd8\manifest.json,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\schneider-electric\2024\02_sustainability_statement_csrd_esrs\canonical-27bcf6d5f801e4f91d73efd8\references.json,,
canonical_6433e2342f80e4ea22b33d6d,043619c4055d75c576e48cd8b5df9178cf7b0ce5b769899d2d48c33e5ff60567,LVMH,lvmh,2024,cdp_response,17_cdp_response,CDP response,external_questionnaire,cdp_response,annual,voluntary,,already_exists,[],C:\Users\hp\Desktop\ESG\ESGCorpus\lvmh\2024\cdp-response\canonical-6433e2342f80e4ea22b33d6d\document.pdf,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\lvmh\2024\17_cdp_response\canonical-6433e2342f80e4ea22b33d6d\document.pdf,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\lvmh\2024\17_cdp_response\canonical-6433e2342f80e4ea22b33d6d\manifest.json,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\lvmh\2024\17_cdp_response\canonical-6433e2342f80e4ea22b33d6d\references.json,,
canonical_148904e2bf67d05bd3d3d5d4,047837ccb89b3da4a94ced2d32fa126014ac9f75da2933a2a3412338b7902df4,TotalEnergies,totalenergies,2024,climate_report,03_climate_report_tcfd_transition_plan,Climate report / TCFD / transition plan,climate,climate_report,annual_or_ad_hoc,voluntary_or_regulated,,already_exists,[],C:\Users\hp\Desktop\ESG\ESGCorpus\totalenergies\2024\climate-report\canonical-148904e2bf67d05bd3d3d5d4\document.pdf,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\totalenergies\2024\03_climate_report_tcfd_transition_plan\canonical-148904e2bf67d05bd3d3d5d4\document.pdf,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\totalenergies\2024\03_climate_report_tcfd_transition_plan\canonical-148904e2bf67d05bd3d3d5d4\manifest.json,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\totalenergies\2024\03_climate_report_tcfd_transition_plan\canonical-148904e2bf67d05bd3d3d5d4\references.json,,
canonical_86b365d4340d7b93ec336a98,048987d13ce989072355bb30d69acf3afb94c62abc738378c40487b02ba9832b,LVMH,lvmh,2024,sbti_commitment,18_sbti_validation,SBTi validation,external_validation,sbti_commitment,ad_hoc,voluntary,,already_exists,[],C:\Users\hp\Desktop\ESG\ESGCorpus\lvmh\2024\sbti-commitment\canonical-86b365d4340d7b93ec336a98\document.pdf,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\lvmh\2024\18_sbti_validation\canonical-86b365d4340d7b93ec336a98\document.pdf,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\lvmh\2024\18_sbti_validation\canonical-86b365d4340d7b93ec336a98\manifest.json,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\lvmh\2024\18_sbti_validation\canonical-86b365d4340d7b93ec336a98\references.json,,
canonical_39c606c4306b914724d28cb6,04dc4f267e6a04b911f2c6bf1e4cdd7a083af01968e9151349ae080876807a91,LVMH,lvmh,2024,corporate_policy,,,,corporate_policy_needs_review,perpetual,policy,,needs_review,"[""corporate_policy_needs_review""]",C:\Users\hp\Desktop\ESG\ESGCorpus\lvmh\2024\corporate-policy\canonical-39c606c4306b914724d28cb6\document.pdf,,,,,
canonical_24fca5a2e18659766618497d,056adaaccb90133ea20b8ebf9599267dd8831f900ac267efc92bbd0486c9ea59,LVMH,lvmh,2024,corporate_policy,,,,corporate_policy_needs_review,perpetual,policy,,needs_review,"[""corporate_policy_needs_review""]",C:\Users\hp\Desktop\ESG\ESGCorpus\lvmh\2024\corporate-policy\canonical-24fca5a2e18659766618497d\document.pdf,,,,,
canonical_18e95f0bd80c47c1841c51ad,06ae7c56a149067b2a614758bf2688e41c698e9b666f5292fca58cd31c9739d9,LVMH,lvmh,2024,corporate_policy,,,,corporate_policy_needs_review,perpetual,policy,,needs_review,"[""corporate_policy_needs_review""]",C:\Users\hp\Desktop\ESG\ESGCorpus\lvmh\2024\corporate-policy\canonical-18e95f0bd80c47c1841c51ad\document.pdf,,,,,
canonical_07f3b0071b9aa9ab82562071,06cc343bbe92b12c7e2a413d3673bafb99515be1140741b0072f396dcdc64d48,LVMH,lvmh,2024,agm_document,16_agm_minutes_resolutions,AGM minutes / resolutions,governance,agm_document,annual_or_ad_hoc,regulated_or_official,,already_exists,[],C:\Users\hp\Desktop\ESG\ESGCorpus\lvmh\2024\agm-document\canonical-07f3b0071b9aa9ab82562071\document.pdf,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\lvmh\2024\16_agm_minutes_resolutions\canonical-07f3b0071b9aa9ab82562071\document.pdf,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\lvmh\2024\16_agm_minutes_resolutions\canonical-07f3b0071b9aa9ab82562071\manifest.json,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\lvmh\2024\16_agm_minutes_resolutions\canonical-07f3b0071b9aa9ab82562071\references.json,,
