company_name,company_slug,fiscal_year,official_doc_type,official_doc_type_label,selected_canonical_document_id,sha256,final_path,final_file_exists,page_count,audit_bucket,audit_priority,validation_status_merged,selection_status,company_name_detected_in_text
Air Liquide,air-liquide,2024,01_urd_annual_report,URD / annual report,canonical_6c97cfaaf78ce3c17defd70f,6b522790fa357c4e454cafb605fad1ad3a448ff405985db5ac3e7de01014ab1f,C:\Users\hp\Desktop\ESG\ESGFinalCorpus\air-liquide\2024\01_urd_annual_report\document.pdf,True,57,KEEP_LIKELY_VALID,4,likely_valid,selected,True
BNP Paribas,bnp-paribas,2024,01_urd_annual_report,URD / annual report,canonical_c770a46401e681516f05ed3e,9fc754d47162512181a6f7cef448ba76a78ece624fe335f6abfdcc12930e0a7b,C:\Users\hp\Desktop\ESG\ESGFinalCorpus\bnp-paribas\2024\01_urd_annual_report\document.pdf,True,43,REVIEW_STANDARD,3,needs_review,selected_needs_review,True
LVMH,lvmh,2024,01_urd_annual_report,URD / annual report,canonical_0d43bf3de8cca5d3a1145322,4e67ffaaae7f880fd24e837c30f10c08b0a087ca1b4314dade86e7b5d32c12cb,C:\Users\hp\Desktop\ESG\ESGFinalCorpus\lvmh\2024\01_urd_annual_report\document.pdf,True,484,REVIEW_STANDARD,3,needs_review,selected,True
LVMH,lvmh,2024,02_sustainability_statement_csrd_esrs,Sustainability statement / CSRD / ESRS,canonical_0d43bf3de8cca5d3a1145322,4e67ffaaae7f880fd24e837c30f10c08b0a087ca1b4314dade86e7b5d32c12cb,C:\Users\hp\Desktop\ESG\ESGFinalCorpus\lvmh\2024\02_sustainability_statement_csrd_esrs\document.pdf,True,484,REVIEW_STANDARD,3,needs_review,selected,True
LVMH,lvmh,2024,03_climate_report_tcfd_transition_plan,Climate report / TCFD / transition plan,canonical_0d43bf3de8cca5d3a1145322,4e67ffaaae7f880fd24e837c30f10c08b0a087ca1b4314dade86e7b5d32c12cb,C:\Users\hp\Desktop\ESG\ESGFinalCorpus\lvmh\2024\03_climate_report_tcfd_transition_plan\document.pdf,True,484,REVIEW_STANDARD,3,needs_review,selected_needs_review,True
LVMH,lvmh,2024,05_half_year_financial_report,Half-year financial report,canonical_49e7f8d175cda572e7dc23de,7daf607d73b9f286302d1cb67ea59beb9e31eb235cd20ad9003b7a6bc4c6b3d8,C:\Users\hp\Desktop\ESG\ESGFinalCorpus\lvmh\2024\05_half_year_financial_report\document.pdf,True,11,REVIEW_STANDARD,3,needs_review,selected_needs_review,True
LVMH,lvmh,2024,16_agm_minutes_resolutions,AGM minutes / resolutions,canonical_ec70a18fbe4a81e3fc2a2fe0,0040b3612bd5f18caffe67f994f1dbc5c1d8aa4889bd9a12ce5a9bf444886722,C:\Users\hp\Desktop\ESG\ESGFinalCorpus\lvmh\2024\16_agm_minutes_resolutions\document.pdf,True,48,KEEP_LIKELY_VALID,4,likely_valid,selected,True
LVMH,lvmh,2024,17_cdp_response,CDP response,canonical_6433e2342f80e4ea22b33d6d,043619c4055d75c576e48cd8b5df9178cf7b0ce5b769899d2d48c33e5ff60567,C:\Users\hp\Desktop\ESG\ESGFinalCorpus\lvmh\2024\17_cdp_response\document.pdf,True,871,REVIEW_HIGH_PRIORITY_COMPANY_NOT_DETECTED,2,needs_review,selected_needs_review,False
LVMH,lvmh,2024,18_sbti_validation,SBTi validation,canonical_ca8266ef2ec56361de270468,ada723f63fd95afc284ab42f21b59f3d6d7885e16aa360ee480bda221c8b6771,C:\Users\hp\Desktop\ESG\ESGFinalCorpus\lvmh\2024\18_sbti_validation\document.pdf,True,174,REVIEW_HIGH_PRIORITY_COMPANY_NOT_DETECTED,2,needs_review,selected_needs_review,False
Schneider Electric,schneider-electric,2024,01_urd_annual_report,URD / annual report,canonical_69806d3f767774dfaff97249,88c05720bf7d3f9e3ae2e4fc69c45687da3d7cc88d002f338f538003c4e8e98a,C:\Users\hp\Desktop\ESG\ESGFinalCorpus\schneider-electric\2024\01_urd_annual_report\document.pdf,True,676,KEEP_LIKELY_VALID,4,likely_valid,selected,True
Schneider Electric,schneider-electric,2024,02_sustainability_statement_csrd_esrs,Sustainability statement / CSRD / ESRS,canonical_9de29cb0ed2693a4ff8e134b,89d162c4a20b0b532fd6c15021ed8bf6cf65551b34fa5c5a0b757b0fa03ce25d,C:\Users\hp\Desktop\ESG\ESGFinalCorpus\schneider-electric\2024\02_sustainability_statement_csrd_esrs\document.pdf,True,676,REVIEW_STANDARD,3,needs_review,selected_needs_review,True
Schneider Electric,schneider-electric,2024,03_climate_report_tcfd_transition_plan,Climate report / TCFD / transition plan,canonical_40d8e0d89b7401018cec99da,a479aa243964ca928068a8058a6577c51ef093611e5b342d1d5fbb8928c2632e,C:\Users\hp\Desktop\ESG\ESGFinalCorpus\schneider-electric\2024\03_climate_report_tcfd_transition_plan\document.pdf,True,36,KEEP_LIKELY_VALID,4,likely_valid,selected,True
Schneider Electric,schneider-electric,2024,04_vigilance_plan,Vigilance plan,canonical_9c49add355c9b39b62d04d96,db86f699776ee068551a1ee263dafdc1943a869b983fa7e8120238504cdb8a02,C:\Users\hp\Desktop\ESG\ESGFinalCorpus\schneider-electric\2024\04_vigilance_plan\document.pdf,True,61,KEEP_LIKELY_VALID,4,likely_valid,selected,True
Schneider Electric,schneider-electric,2024,05_half_year_financial_report,Half-year financial report,canonical_4348f033133985f7bca9ae0d,43e167d4fa066cf8d70c7face89ecb51059e2a0aee9da30674a12e2ae5676eb4,C:\Users\hp\Desktop\ESG\ESGFinalCorpus\schneider-electric\2024\05_half_year_financial_report\document.pdf,True,102,REVIEW_HIGH_PRIORITY_COMPANY_NOT_DETECTED,2,needs_review,selected_needs_review,False
Schneider Electric,schneider-electric,2024,08_anticorruption_policy,Anti-corruption policy,canonical_446893b809f2a09f53a8b273,97d562b899055eeaddecc8808af1469c384bb62d77bab918702fdaecc5d17cc3,C:\Users\hp\Desktop\ESG\ESGFinalCorpus\schneider-electric\2024\08_anticorruption_policy\document.pdf,True,20,REVIEW_HIGH_PRIORITY_COMPANY_NOT_DETECTED,2,needs_review,selected_needs_review,False
Schneider Electric,schneider-electric,2024,13_investor_presentations,Investor presentations,canonical_96e73eb10f790674189730e2,5e0002469d5015dd95e0c4e2504de393cf962c0767932c6974fe248163a9abf5,C:\Users\hp\Desktop\ESG\ESGFinalCorpus\schneider-electric\2024\13_investor_presentations\document.pdf,True,2,KEEP_LIKELY_VALID,4,likely_valid,selected,True
Schneider Electric,schneider-electric,2024,16_agm_minutes_resolutions,AGM minutes / resolutions,canonical_21b88b77a7daf1ed63d6a77e,1f4111ee003aef7b9f0cd4a9f193a20b85a8a6c8820385019af22d1b0573ccc8,C:\Users\hp\Desktop\ESG\ESGFinalCorpus\schneider-electric\2024\16_agm_minutes_resolutions\document.pdf,True,3,KEEP_LIKELY_VALID,4,likely_valid,selected,True
